CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(PSU);(ml/l)
NED2003003_25;MFD_SETNO25;44.921333;57.8905;245485;25;10-mar-03;22:38:00;32.135;-1.436;4.8025;1.85344115702479;32.135;8.623
NED2003003_25;MFD_SETNO25;44.921333;57.8905;245486;5;10-mar-03;22:38:00;32.311;-0.996;4.9033;0.691401239669422;32.312;8.295
NED2003003_26;MFD_SETNO26;44.828;57.7215;245487;40;11-mar-03;00:25:26;32.014;-1.546;4.9679;1.44354551652893;NaN;NaN
NED2003003_26;MFD_SETNO26;44.828;57.7215;245488;25;11-mar-03;00:25:26;32.014;-1.549;4.8214;1.28315157024793;32.014;8.6365
NED2003003_26;MFD_SETNO26;44.828;57.7215;245489;5;11-mar-03;00:25:26;32.215;-1.224;4.836;1.00589702479339;32.217;8.5115
NED2003003_27;MFD_SETNO27;44.6365;57.845333;245490;37;11-mar-03;02:36:56;32.206;-1.265;4.8271;1.47918861570248;NaN;NaN
NED2003003_27;MFD_SETNO27;44.6365;57.845333;245491;25;11-mar-03;02:36:56;32.186;-1.31;4.6942;1.31166604958678;32.187;8.5955
NED2003003_27;MFD_SETNO27;44.6365;57.845333;245492;5;11-mar-03;02:36:56;32.242;-0.956;4.8501;1.27602295041322;32.247;8.231
NED2003003_28;MFD_SETNO28;44.7;57.6445;245493;34;11-mar-03;04:15:18;32.237;-0.975;4.8133;1.10137176446281;NaN;NaN
NED2003003_28;MFD_SETNO28;44.7;57.6445;245494;25;11-mar-03;04:15:18;32.236;-0.993;4.7307;1.08711452479339;32.239;8.2085
NED2003003_28;MFD_SETNO28;44.7;57.6445;245495;5;11-mar-03;04:15:18;32.207;-1.167;4.7239;1.26533002066116;32.205;8.278
NED2003003_29;MFD_SETNO29;44.7795;57.29;245496;362;11-mar-03;07:01:43;32.207;-1.168;4.707;1.20473675206612;NaN;NaN
NED2003003_29;MFD_SETNO29;44.7795;57.29;245497;50;11-mar-03;07:01:43;32.206;-1.185;4.5733;1.30097311983471;32.199;8.1475
