CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(ml/l)
NED2013022_114;MFD_SETNO114;43.6975;-62.1198;384201;5;16-jul-13;23:35:51;30.6645;18.9692;4.75385;0.210602546218487;0;0.2055;0;NaN;0;5.99;NaN
NED2013022_115;MFD_SETNO115;43.606;-62.1943;384202;102;17-jul-13;01:04:51;33.7573;7.1395;4.30845;0.027749968487395;8.87;0.938;11.49;33.7468032836914;0.13;5.144;NaN
NED2013022_115;MFD_SETNO115;43.606;-62.1943;384203;50;17-jul-13;01:04:51;32.7675;4.6994;5.61099;0.493253331932773;3.745;0.6535;2.835;NaN;0.295;NaN;NaN
NED2013022_115;MFD_SETNO115;43.606;-62.1943;384204;25;17-jul-13;01:04:51;32.069;4.665;6.63388;0.823676483193277;1.065;0.3865;0;NaN;0;NaN;NaN
NED2013022_115;MFD_SETNO115;43.606;-62.1943;384205;4;17-jul-13;01:04:51;30.4822;19.134;4.71372;0.188433857142857;0.3;0.212;0;NaN;0;5.929;NaN
NED2013022_116;MFD_SETNO116;43.4217;-62.1897;384206;101;17-jul-13;02:57:32;33.4089;6.1313;4.6149;0.0369999579831933;7.945;0.8895;9.96;33.4263954162598;0.105;5.4665;NaN
NED2013022_116;MFD_SETNO116;43.4217;-62.1897;384207;50;17-jul-13;02:57:32;32.95;4.9941;5.51992;0.43228943697479;3.36;0.6705;3.81;NaN;0.275;NaN;NaN
NED2013022_116;MFD_SETNO116;43.4217;-62.1897;384208;25;17-jul-13;02:57:32;32.5198;7.2412;6.39745;0.716240420168067;0.955;0.31;0;NaN;0;NaN;NaN
NED2013022_116;MFD_SETNO116;43.4217;-62.1897;384209;5;17-jul-13;02:57:32;30.8421;19.0452;4.66469;0.172049804621849;0;0.206;0;NaN;0;5.666;NaN
NED2013022_117;MFD_SETNO117;43.4355;-61.9935;384210;93;17-jul-13;04:47:08;33.3592;5.9562;4.73885;0.0314499642857143;7.345;0.857;9.295;33.3748931884766;0.23;5.599;NaN
NED2013022_117;MFD_SETNO117;43.4355;-61.9935;384211;51;17-jul-13;04:47:08;33.1278;5.2806;5.17899;0.0998998865546218;5.555;0.7985;6.135;NaN;0.25;NaN;NaN
NED2013022_117;MFD_SETNO117;43.4355;-61.9935;384212;25;17-jul-13;04:47:08;32.3372;8.1484;6.35606;0.787864462184874;1.18;0.402;0;NaN;0;NaN;NaN
NED2013022_117;MFD_SETNO117;43.4355;-61.9935;384213;5;17-jul-13;04:47:08;30.9857;18.9718;4.68693;0.18289168487395;0.265;0.2195;0;NaN;0;5.723;NaN
NED2013022_118;MFD_SETNO118;43.3098;-61.5955;384214;84;17-jul-13;07:28:10;33.1917;5.3126;5.24201;0.0665999243697479;5.88;0.78;5.885;33.2108345031738;0.225;6.1665;NaN
NED2013022_118;MFD_SETNO118;43.3098;-61.5955;384215;50;17-jul-13;07:28:10;32.6884;4.2024;5.83459;0.243855579831933;2.985;0.652;3.75;NaN;0.23;NaN;NaN
NED2013022_118;MFD_SETNO118;43.3098;-61.5955;384216;25;17-jul-13;07:28:10;32.1107;7.459;6.13047;2.12024389915966;1.08;0.4275;0.235;NaN;0;NaN;NaN
NED2013022_118;MFD_SETNO118;43.3098;-61.5955;384217;5;17-jul-13;07:28:10;31.3523;17.4598;4.97401;0.288192957983193;0;0.193;0.315;NaN;0;6.134;NaN
NED2013022_119;MFD_SETNO119;43.2635;-61.7222;384218;86;17-jul-13;08:55:43;33.4783;6.255;4.92689;0.0536499390756303;6.005;0.7635;7.66;33.4942436218262;0.215;5.833;NaN
NED2013022_119;MFD_SETNO119;43.2635;-61.7222;384219;50;17-jul-13;08:55:43;32.6897;3.747;6.09522;1.1101726512605;1.745;0.57;1.585;NaN;0.13;NaN;NaN
NED2013022_119;MFD_SETNO119;43.2635;-61.7222;384220;24;17-jul-13;08:55:43;31.9493;9.5933;6.14577;0.498795504201681;0;0.28;0.345;NaN;0;NaN;NaN
NED2013022_119;MFD_SETNO119;43.2635;-61.7222;384221;4;17-jul-13;08:55:43;31.322;18.0432;4.82431;0.254939924369748;0;0.195;0;NaN;0;5.909;NaN
NED2013022_12;MFD_SETNO12;43.1948;-65.0107;383831;160;04-jul-13;03:19:17;33.397;6.6806;4.53228;0.0258999705882353;10.645;0.9635;10.605;33.4097671508789;0.07;NaN;5.3345
NED2013022_12;MFD_SETNO12;43.1948;-65.0107;383832;101;04-jul-13;03:19:17;33.3209;6.5177;4.64819;0.0684499222689075;9.9;0.939;10.125;NaN;0.05;NaN;NaN
NED2013022_12;MFD_SETNO12;43.1948;-65.0107;383833;51;04-jul-13;03:19:17;32.2383;4.032;5.76496;0.555086325630252;4.135;0.6985;3.765;NaN;0.29;NaN;NaN
NED2013022_12;MFD_SETNO12;43.1948;-65.0107;383834;26;04-jul-13;03:19:17;32.0524;9.3175;5.85331;2.29196934453781;3.18;0.39;0;NaN;0.07;NaN;NaN
NED2013022_12;MFD_SETNO12;43.1948;-65.0107;383835;5;04-jul-13;03:19:17;31.7807;11.4811;5.72001;1.1101726512605;2.515;0.321;0;NaN;0.05;NaN;6.5265
NED2013022_120;MFD_SETNO120;43.2083;-61.7377;384222;89;17-jul-13;10:38:09;33.6534;6.8471;4.78897;0.0499499432773109;6.725;0.782;8.51;33.6643486022949;0.215;5.674;NaN
