CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
NED2006036_23;MFD_SETNO23;46.465783;-59.584683;295943;24;23-jul-06;20:07:05;30.7551;5.5711;5.3326;0.579849290322581;3.966;0.6785;2.3265;NaN;NaN
NED2006036_23;MFD_SETNO23;46.465783;-59.584683;295944;4;23-jul-06;20:07:05;29.2246;18.6974;4.27969;0.768930580645161;1.944;0.0885;0.0325;NaN;5.726
NED2006036_24;MFD_SETNO24;46.527983;-59.745383;295945;64;23-jul-06;22:25:04;32.3712;1.3727;4.86945;0.107926451612903;8.038;0.969;7.624;32.378;6.436
NED2006036_24;MFD_SETNO24;46.527983;-59.745383;295946;50;23-jul-06;22:25:04;32.1544;1.6296;5.46318;0.261082838709677;3.0855;0.7;3.5355;NaN;NaN
NED2006036_24;MFD_SETNO24;46.527983;-59.745383;295947;25;23-jul-06;22:25:04;31.3799;5.5462;5.54432;0.844563096774193;2.472;0.3985;0.2235;NaN;NaN
NED2006036_24;MFD_SETNO24;46.527983;-59.745383;295948;5;23-jul-06;22:25:04;28.5659;19.2851;4.2246;0.806746838709677;2.0765;0.071;0.0195;NaN;5.684
NED2006036_25;MFD_SETNO25;46.892433;-59.713233;295949;363;24-jul-06;01:34:48;34.8397;5.2012;2.75952;0.0100217419354839;28.9665;1.6965;21.597;34.849;3.8405
NED2006036_25;MFD_SETNO25;46.892433;-59.713233;295950;50;24-jul-06;01:34:48;32.2303;1.4215;5.3142;0.273321096774194;4.1865;0.768;5.2795;NaN;NaN
NED2006036_25;MFD_SETNO25;46.892433;-59.713233;295951;25;24-jul-06;01:34:48;31.7453;2.4461;6.03089;2.06183148387097;1.5875;0.551;0.3345;NaN;NaN
NED2006036_25;MFD_SETNO25;46.892433;-59.713233;295952;5;24-jul-06;01:34:48;29.6745;17.709;4.28799;0.554801032258065;1.7555;0.1875;0.0995;NaN;5.73
NED2006036_26;MFD_SETNO26;47.140417;-60.144233;295953;209;24-jul-06;05:16:19;34.7154;5.7098;2.56372;0.0192725806451613;24.359;1.465;22.029;34.73;3.549
NED2006036_26;MFD_SETNO26;47.140417;-60.144233;295954;51;24-jul-06;05:16:19;31.9197;2.1179;5.54;0.289638774193548;2.7735;0.5455;2.632;NaN;NaN
NED2006036_26;MFD_SETNO26;47.140417;-60.144233;295955;25;24-jul-06;05:16:19;30.6989;9.5326;5.01774;0.857168516129032;2.6355;0.4435;0.798;NaN;NaN
NED2006036_26;MFD_SETNO26;47.140417;-60.144233;295956;5;24-jul-06;05:16:19;28.8513;18.505;4.21687;0.932801032258064;2.01;0.135;0.02;NaN;5.6265
NED2006036_27;MFD_SETNO27;47.025417;-60.036833;295957;214;24-jul-06;07:09:36;34.4348;5.4683;2.49206;0.0115635483870968;20.831;1.47;18.2925;34.448;3.4305
NED2006036_27;MFD_SETNO27;47.025417;-60.036833;295958;48;24-jul-06;07:09:36;32.1109;1.4422;5.42558;0.314115290322581;3.52;0.7335;4.3155;NaN;NaN
NED2006036_27;MFD_SETNO27;47.025417;-60.036833;295959;26;24-jul-06;07:09:36;31.6536;3.7192;5.95105;4.08548090322581;2.2405;0.592;0.736;NaN;NaN
NED2006036_27;MFD_SETNO27;47.025417;-60.036833;295960;5;24-jul-06;07:09:36;29.1552;17.6085;4.26649;0.907590193548387;1.703;0.1825;0.0485;NaN;5.7955
NED2006036_28;MFD_SETNO28;46.664267;-60.226833;295961;136;24-jul-06;10:26:55;33.573;3.3975;3.04843;0.0462541935483871;22.058;1.563;17.278;33.499;4.3245
NED2006036_28;MFD_SETNO28;46.664267;-60.226833;295962;50;24-jul-06;10:26:55;31.9094;1.4966;5.47985;0.289638774193548;3.846;0.6545;3.932;NaN;NaN
NED2006036_28;MFD_SETNO28;46.664267;-60.226833;295963;26;24-jul-06;10:26:55;30.8059;10.3325;4.8126;0.375306580645161;1.8375;0.4345;0.3615;NaN;NaN
NED2006036_28;MFD_SETNO28;46.664267;-60.226833;295964;5;24-jul-06;10:26:55;28.9103;18.8182;4.2034;1.15969858064516;1.6735;0.162;0.074;NaN;5.7395
NED2006036_29;MFD_SETNO29;46.503483;-59.96805;295965;62;24-jul-06;13:06:13;32.4306;1.6596;4.52205;0.0693812903225806;13.8605;1.1015;9.231;32.425;6.1555
NED2006036_29;MFD_SETNO29;46.503483;-59.96805;295966;49;24-jul-06;13:06:13;32.0011;1.7335;5.08418;0.0925083870967742;8.1915;0.862;6.286;NaN;NaN
NED2006036_29;MFD_SETNO29;46.503483;-59.96805;295967;24;24-jul-06;13:06:13;30.9032;8.3544;4.98366;0.509927419354839;4.5035;0.7845;3.2125;NaN;NaN
NED2006036_29;MFD_SETNO29;46.503483;-59.96805;295968;5;24-jul-06;13:06:13;29.0833;18.5245;4.23578;0.945406451612903;1.617;0.163;0.069;NaN;5.77
