CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEM2008830_130;MFD_SETNO130;44.4652;-58.704517;321620;63;23-jul-08;15:51:30;32.4092;2.5788;4.34273;4.34273;2.5788;32.4092
TEM2008830_130;MFD_SETNO130;44.4652;-58.704517;321621;50;23-jul-08;15:51:30;32.3767;2.7204;4.42822;4.42822;2.7204;32.3767
TEM2008830_130;MFD_SETNO130;44.4652;-58.704517;321622;26;23-jul-08;15:51:30;32.1813;3.2774;4.81882;4.81882;3.2774;32.1813
TEM2008830_130;MFD_SETNO130;44.4652;-58.704517;321623;5;23-jul-08;15:51:30;31.3795;13.4172;4.1819;4.1819;13.4172;31.3795
TEM2008830_131;MFD_SETNO131;44.6594;-58.529167;321624;65;23-jul-08;19:13:29;32.6106;1.2036;4.01212;4.01212;1.2036;32.6106
TEM2008830_131;MFD_SETNO131;44.6594;-58.529167;321625;47;23-jul-08;19:13:29;32.3575;1.7259;4.25398;4.25398;1.7259;32.3575
TEM2008830_131;MFD_SETNO131;44.6594;-58.529167;321626;25;23-jul-08;19:13:29;31.8624;3.8173;5.0104;5.0104;3.8173;31.8624
TEM2008830_131;MFD_SETNO131;44.6594;-58.529167;321627;6;23-jul-08;19:13:29;30.6839;16.8458;3.63413;3.63413;16.8458;30.6839
TEM2008830_132;MFD_SETNO132;45.0284;-58.920967;321628;116;23-jul-08;23:22:11;32.6542;1.2834;4.07437;4.07437;1.2834;32.6542
TEM2008830_132;MFD_SETNO132;45.0284;-58.920967;321629;50;23-jul-08;23:22:11;32.308;1.3144;4.4656;4.4656;1.3144;32.308
TEM2008830_132;MFD_SETNO132;45.0284;-58.920967;321630;25;23-jul-08;23:22:11;31.713;4.8689;4.91146;4.91146;4.8689;31.713
TEM2008830_132;MFD_SETNO132;45.0284;-58.920967;321631;5;23-jul-08;23:22:11;30.5684;16.1511;3.74959;3.74959;16.1511;30.5684
TEM2008830_133;MFD_SETNO133;45.118433;-59.0709;321632;90;24-jul-08;01:22:12;32.5308;1.189;4.12856;4.12856;1.189;32.5308
TEM2008830_133;MFD_SETNO133;45.118433;-59.0709;321633;51;24-jul-08;01:22:12;32.2064;1.2403;4.47607;4.47607;1.2403;32.2064
TEM2008830_133;MFD_SETNO133;45.118433;-59.0709;321634;25;24-jul-08;01:22:12;31.3824;4.0724;4.77378;4.77378;4.0724;31.3824
TEM2008830_133;MFD_SETNO133;45.118433;-59.0709;321635;5;24-jul-08;01:22:12;30.4825;16.4999;3.48481;3.48481;16.4999;30.4825
